column,dtype,missing_count,missing_pct,distinct_count,issue_level,recommended_action,notes
mouiwylisv_Mean,float64,0,0.0,21287,informational,impute_encode_or_keep,
peak_vce_Mean,float64,0,0.0,2125,informational,impute_encode_or_keep,
peak_dat_Mean,float64,0,0.0,236,informational,impute_encode_or_keep,
mou_peav_Mean,float64,0,0.0,64094,informational,impute_encode_or_keep,
mou_pead_Mean,float64,0,0.0,3168,informational,impute_encode_or_keep,
opk_vce_Mean,float64,0,0.0,1928,informational,impute_encode_or_keep,
opk_dat_Mean,float64,0,0.0,257,informational,impute_encode_or_keep,
mou_opkv_Mean,float64,0,0.0,59693,informational,impute_encode_or_keep,
mou_opkd_Mean,float64,0,0.0,3539,informational,impute_encode_or_keep,
drop_blk_Mean,float64,0,0.0,514,informational,impute_encode_or_keep,
attempt_Mean,float64,0,0.0,2918,informational,impute_encode_or_keep,
complete_Mean,float64,0,0.0,2346,informational,impute_encode_or_keep,
callfwdv_Mean,float64,0,0.0,45,informational,impute_encode_or_keep,
callwait_Mean,float64,0,0.0,263,informational,impute_encode_or_keep,
churn,int64,0,0.0,2,informational,impute_encode_or_keep,
months,int64,0,0.0,56,informational,impute_encode_or_keep,
Customer_ID,int64,0,0.0,100000,informational,drop_leakage_id,
uniqsubs,int64,0,0.0,15,informational,impute_encode_or_keep,
actvsubs,int64,0,0.0,12,informational,impute_encode_or_keep,
new_cell,object,0,0.0,3,informational,impute_encode_or_keep,
crclscod,object,0,0.0,54,informational,impute_encode_or_keep,
asl_flag,object,0,0.0,2,informational,impute_encode_or_keep,
totcalls,int64,0,0.0,12230,informational,impute_encode_or_keep,
totmou,float64,0,0.0,23752,informational,impute_encode_or_keep,
totrev,float64,0,0.0,76104,informational,impute_encode_or_keep,
adjrev,float64,0,0.0,75274,informational,impute_encode_or_keep,
adjmou,float64,0,0.0,23455,informational,impute_encode_or_keep,
adjqty,int64,0,0.0,12185,informational,impute_encode_or_keep,
avgrev,float64,0,0.0,14863,informational,impute_encode_or_keep,
avgmou,float64,0,0.0,57931,informational,impute_encode_or_keep,
avgqty,float64,0,0.0,34704,informational,impute_encode_or_keep,
avg3mou,int64,0,0.0,3108,informational,impute_encode_or_keep,
avg3qty,int64,0,0.0,1438,informational,impute_encode_or_keep,
avg3rev,int64,0,0.0,507,informational,impute_encode_or_keep,
avg6mou,float64,2839,0.02839,2941,informational,impute_encode_or_keep,
avg6qty,float64,2839,0.02839,1376,informational,impute_encode_or_keep,
avg6rev,float64,2839,0.02839,451,high,impute_encode_or_keep,3 negative values in mostly non-negative field
prizm_social_one,object,7388,0.07388,5,informational,impute_encode_or_keep,missingness above 5%; missing indicator will be created
area,object,40,0.0004,19,informational,impute_encode_or_keep,
dualband,object,1,1e-05,4,informational,impute_encode_or_keep,
refurb_new,object,1,1e-05,2,informational,impute_encode_or_keep,
hnd_price,float64,847,0.00847,17,informational,impute_encode_or_keep,
phones,float64,1,1e-05,24,informational,impute_encode_or_keep,
models,float64,1,1e-05,14,informational,impute_encode_or_keep,
hnd_webcap,object,10189,0.10189,3,informational,impute_encode_or_keep,missingness above 5%; missing indicator will be created
truck,float64,1732,0.01732,2,informational,impute_encode_or_keep,
rv,float64,1732,0.01732,2,informational,impute_encode_or_keep,
ownrent,object,33706,0.33706,2,high,impute_encode_or_keep,missingness above 30%
lor,float64,30190,0.3019,16,high,impute_encode_or_keep,missingness above 30%
dwlltype,object,31909,0.31909,2,high,impute_encode_or_keep,missingness above 30%
marital,object,1732,0.01732,5,informational,impute_encode_or_keep,
adults,float64,23019,0.23019,6,informational,impute_encode_or_keep,missingness above 5%; missing indicator will be created
infobase,object,22079,0.22079,2,informational,impute_encode_or_keep,missingness above 5%; missing indicator will be created
income,float64,25436,0.25436,9,informational,impute_encode_or_keep,missingness above 5%; missing indicator will be created
numbcars,float64,49366,0.49366,3,high,impute_encode_or_keep,missingness above 30%
HHstatin,object,37923,0.37923,6,high,impute_encode_or_keep,missingness above 30%
dwllsize,object,38308,0.38308,15,high,impute_encode_or_keep,missingness above 30%
forgntvl,float64,1732,0.01732,2,informational,impute_encode_or_keep,
ethnic,object,1732,0.01732,17,informational,impute_encode_or_keep,
kid0_2,object,1732,0.01732,2,informational,impute_encode_or_keep,
kid3_5,object,1732,0.01732,2,informational,impute_encode_or_keep,
kid6_10,object,1732,0.01732,2,informational,impute_encode_or_keep,
kid11_15,object,1732,0.01732,2,informational,impute_encode_or_keep,
kid16_17,object,1732,0.01732,2,informational,impute_encode_or_keep,
creditcd,object,1732,0.01732,2,informational,impute_encode_or_keep,
eqpdays,float64,1,1e-05,1555,high,impute_encode_or_keep,133 negative values in mostly non-negative field
